Run,Cell,Species,CellLine,Strain,Barcode.1st,Barcode.2nd,Remark,TotalReads,UniqReads,Length.Median,Length.Mean,Length.Std,Background,GC.Median,GC.Mean,GC.Std,Spikiness,GenomicDepth,GenomicCoverage
20220418_S5CSTreat,20220418_S5CSTreat.sc009,Human,HG001,HG001,10,1,,43822,36175,3218.0,3512.656668970283,1681.341600361606,0.051319,0.3947048082775411,0.4062848169904692,0.0627412359951462,0.3815398075240595,0.0505298372499435,0.0408974406101201
20220418_S5CSTreat,20220418_S5CSTreat.sc010,Human,HG001,HG001,10,2,,417481,177671,2332.0,2720.754968452927,1653.043414568967,0.108402,0.3994252873563218,0.4100601971454798,0.0672940863767418,0.2845226458129684,0.3549673926050881,0.1447932464781491
20220418_S5CSTreat,20220418_S5CSTreat.sc011,Human,HG001,HG001,10,3,,284,280,2158.5,2502.364285714286,1580.522150207303,0.0,0.3927143358969185,0.4052112286542413,0.0698563799108681,1.825925925925926,0.0002381539608798,0.0002328896158406
20220418_S5CSTreat,20220418_S5CSTreat.sc012,Human,HG001,HG001,10,4,,1899,1689,2268.0,2572.611604499704,1420.823699592665,0.030058,0.3935627788400255,0.4060547097122193,0.0674721097440978,1.315203955500618,0.0016278589643125,0.0014415759324944
20220418_S5CSTreat,20220418_S5CSTreat.sc013,Human,HG001,HG001,10,5,,459703,106642,2523.0,2966.71601245288,1863.165075554079,0.006142,0.3956194920415763,0.4066776049056656,0.0659694224255052,0.3379463659850594,0.4021738695274332,0.0941545452858372
20220418_S5CSTreat,20220418_S5CSTreat.sc014,Human,HG001,HG001,10,6,,342807,187094,2505.0,2920.409414518905,1763.503272942039,0.270032,0.4015904572564613,0.4122057680162997,0.0666704483882614,0.3114935340495388,0.3196533793000197,0.1611545960774625
20220418_S5CSTreat,20220418_S5CSTreat.sc015,Human,HG001,HG001,10,7,,324236,64583,3131.0,3717.056748679993,2533.545352129813,0.041502,0.3952422522915757,0.4058777667559072,0.0644830986199512,0.3727984662377332,0.3389543551692075,0.0729088918374492
20220418_S5CSTreat,20220418_S5CSTreat.sc016,Human,HG001,HG001,10,8,,13982,12929,2674.0,2930.173717998298,1471.673529674069,0.012772,0.3912141127637496,0.4019746859848668,0.0626744313775377,0.5556646216768916,0.0133535543220488,0.0123578320665668
20220418_S5CSTreat,20220418_S5CSTreat.sc017,Human,HG001,HG001,11,1,,77268,65485,2400.0,2682.636496907689,1428.470935332462,0.058197,0.3946731234866828,0.405292151119317,0.0651829113065069,0.3209119445972622,0.0682385558751019,0.0562024359860495
20220418_S5CSTreat,20220418_S5CSTreat.sc018,Human,HG001,HG001,11,2,,442132,158153,2423.0,2852.336206078924,1791.871668515236,0.017091,0.3948362720403023,0.4054054750492129,0.0652702957788499,0.2788110794885156,0.3836794737529882,0.1364970571309493
20220418_S5CSTreat,20220418_S5CSTreat.sc019,Human,HG001,HG001,11,3,,109,82,3033.5,3608.268292682927,2212.006081282055,0.0,0.3953815853373662,0.4097246920407737,0.0642089629152644,1.948051948051948,0.0001392722740965,9.45895151425245e-05
20220418_S5CSTreat,20220418_S5CSTreat.sc020,Human,HG001,HG001,11,4,,361286,101057,2640.0,3197.341500341392,2153.766491148654,0.05562,0.3984,0.4101599652930357,0.0677082835713716,0.5358637925648235,0.3651855426739493,0.0968667243717723
20220418_S5CSTreat,20220418_S5CSTreat.sc021,Human,HG001,HG001,11,5,,423129,138369,2610.0,3109.545743627546,2027.50997216071,0.042413,0.3951734539969834,0.4058585256930324,0.0650524010396647,0.3497863607822718,0.3992332992580586,0.1294336160007083
20220418_S5CSTreat,20220418_S5CSTreat.sc022,Human,HG001,HG001,11,6,,318670,129769,2844.0,3432.190453806379,2295.263985662635,0.297676,0.4015151515151515,0.4122331086234492,0.0659018711622419,0.4502066831583443,0.3403566852094348,0.1272214860413559
20220418_S5CSTreat,20220418_S5CSTreat.sc023,Human,HG001,HG001,11,7,,231405,116347,2966.0,3384.957850223899,1849.794626265862,0.018163,0.3949191685912241,0.4057584713292414,0.0632843303967181,0.2312558426588976,0.2623638207590486,0.1213568665373388
20220418_S5CSTreat,20220418_S5CSTreat.sc024,Human,HG001,HG001,11,8,,206469,107799,2233.0,2683.161318750637,1718.710170051743,0.117147,0.3984455958549223,0.4098799554626268,0.0655878695163879,0.2827321686073317,0.1778745263565116,0.0889012527625368
20220418_S5CSTreat,20220418_S5CSTreat.sc025,Human,HG001,HG001,12,1,,154408,102840,2428.0,2767.02238428627,1549.022753369288,0.031618,0.395041348969474,0.4059213227657441,0.0652911124217362,0.2777053990008309,0.1424994469968145,0.0894566197728781
20220418_S5CSTreat,20220418_S5CSTreat.sc026,Human,HG001,HG001,12,2,,157294,81074,2474.0,2868.753361126872,1696.327069714636,0.026529,0.3945490501490209,0.4054659781345216,0.0651148916057335,0.3295162908247678,0.1489955409491432,0.0727594679165529
20220418_S5CSTreat,20220418_S5CSTreat.sc027,Human,HG001,HG001,12,3,,90934,70901,2609.0,2927.357893400657,1542.794891112236,0.240672,0.3996361431170407,0.4101756546475318,0.0652171533279702,0.4062981624184944,0.0886307252535777,0.0649909527247895
20220418_S5CSTreat,20220418_S5CSTreat.sc028,Human,HG001,HG001,12,4,,370335,138808,2457.0,2845.337098726298,1671.20864221257,0.010767,0.3950910530482977,0.4056494409257513,0.0652023964197461,0.2649270807908226,0.3534228306401571,0.1197556559067449
20220418_S5CSTreat,20220418_S5CSTreat.sc029,Human,HG001,HG001,12,5,,132803,66743,2893.0,3272.910237777745,1743.483355288451,0.008042,0.3937314115762983,0.4043975731911639,0.0629538812464231,0.3427122136799556,0.1473001974988172,0.068441625332816
20220418_S5CSTreat,20220418_S5CSTreat.sc030,Human,HG001,HG001,12,6,,14676,13571,2708.0,2971.653525900818,1484.482905670464,0.016445,0.3924131335671023,0.4031952742444926,0.0631339180271466,0.5675822050290136,0.0143964379438683,0.0132413835988223
20220418_S5CSTreat,20220418_S5CSTreat.sc031,Human,HG001,HG001,12,7,,353700,153875,2299.0,2639.229173030057,1522.334514024764,0.015581,0.3941338221814849,0.4048276956031349,0.0654158827683295,0.2219227868065556,0.3019724422253715,0.1245447431105742
20220418_S5CSTreat,20220418_S5CSTreat.sc032,Human,HG001,HG001,12,8,,116838,88600,2591.0,2892.039943566592,1500.670729805895,0.270861,0.3998485821503679,0.4103409617223475,0.0650968781987918,0.3490229114509795,0.1127513204843445,0.0794823405314357
20220418_S5CSTreat,20220418_S5CSTreat.sc033,Human,HG001,HG001,13,1,,199,174,2661.5,2799.264367816092,1386.106251087939,0.0,0.3989913686296115,0.4093492777957963,0.0615069579174632,1.906432748538012,0.0001913616378252,0.0001672632158001
20220418_S5CSTreat,20220418_S5CSTreat.sc034,Human,HG001,HG001,13,2,,143050,94742,2357.0,2668.941525405839,1471.947886964363,0.007453,0.3946574544755475,0.4054154805993119,0.0654602694955503,0.2796723522324044,0.1262897164476701,0.0805326060623908
20220418_S5CSTreat,20220418_S5CSTreat.sc035,Human,HG001,HG001,13,3,,457077,186176,2096.0,2415.243409462014,1407.910496255003,0.115699,0.4001823154056518,0.4102664708016477,0.0674828095352654,0.3214289718892614,0.3601511095130474,0.1345179461786734
20220418_S5CSTreat,20220418_S5CSTreat.sc036,Human,HG001,HG001,13,4,,480486,182977,2139.0,2448.245998130913,1405.181288336296,0.010483,0.394396551724138,0.4051428433946711,0.0661123109257178,0.2198595903273337,0.3683954968007144,0.1361607261785651
20220418_S5CSTreat,20220418_S5CSTreat.sc037,Human,HG001,HG001,13,5,,387932,63961,2321.0,2843.936054783384,1986.170371387985,0.0234,0.3973249409913454,0.408319460190487,0.0671975528638838,0.6071097116340736,0.3167666792629962,0.0540162785346866
20220418_S5CSTreat,20220418_S5CSTreat.sc038,Human,HG001,HG001,13,6,,321925,158198,2032.0,2327.107858506429,1327.874939640177,0.004511,0.3954203934947923,0.4058763142892854,0.0669124446945724,0.2348903666907032,0.2414902902440968,0.1139180690840692
20220418_S5CSTreat,20220418_S5CSTreat.sc039,Human,HG001,HG001,13,7,,431794,144954,2348.0,2749.175559142901,1686.81536201411,0.189502,0.4025796760272539,0.4127361987821782,0.0675739759217037,0.3903645646077515,0.3635834057829762,0.1176510604991603
20220418_S5CSTreat,20220418_S5CSTreat.sc040,Human,HG001,HG001,13,8,,224046,138582,2117.0,2484.244562785932,1515.442349697445,0.088193,0.3989809309065962,0.4102665676214445,0.0673184038185488,0.3035983212420974,0.1818201924416233,0.1064070553212041
20220418_S5CSTreat,20220418_S5CSTreat.sc041,Human,HG001,HG001,14,1,,112309,80701,2932.0,3302.033729445732,1718.040534447266,0.075463,0.3968835930339139,0.4081939735108058,0.0632706044465075,0.2630656552445723,0.1238424259171575,0.0843392388298012
20220418_S5CSTreat,20220418_S5CSTreat.sc042,Human,HG001,HG001,14,2,,285098,164071,2712.0,3188.802268530087,1935.913584768325,0.361114,0.4012406947890819,0.4118203530999465,0.0653428778253302,0.2888149455797,0.2991855327442154,0.1542476779947945
20220418_S5CSTreat,20220418_S5CSTreat.sc043,Human,HG001,HG001,14,3,,435520,171211,2334.0,2728.143921827453,1643.840159489381,0.032684,0.3960342979635584,0.406847943341933,0.0658831384063796,0.2278019616656302,0.3973614404229174,0.1415980558218292
20220418_S5CSTreat,20220418_S5CSTreat.sc044,Human,HG001,HG001,14,4,,478258,214347,2252.0,2622.386588102469,1576.826306326605,0.044381,0.3966639544344996,0.4079649811549642,0.0668869581102735,0.2374423177830413,0.4198953109284649,0.1700416452857794
20220418_S5CSTreat,20220418_S5CSTreat.sc045,Human,HG001,HG001,14,5,,425462,172034,2152.0,2524.191334271132,1564.079097022415,0.043981,0.3961352657004831,0.4069613746103353,0.0667387233978227,0.2373456012873981,0.345085366532199,0.1320338511459055
20220418_S5CSTreat,20220418_S5CSTreat.sc046,Human,HG001,HG001,14,6,,388863,177014,2129.0,2474.543488085688,1486.939573388019,0.010889,0.3955321944809461,0.4063327285514434,0.066806145803711,0.234294452508527,0.3114181937466119,0.1343236273250223
20220418_S5CSTreat,20220418_S5CSTreat.sc047,Human,HG001,HG001,14,7,,52,52,2916.5,3074.75,1773.345565644865,0.0,0.3872945030604869,0.4037462258563295,0.0709321119279768,2.0,5.383544976085059e-05,5.383544976085059e-05
20220418_S5CSTreat,20220418_S5CSTreat.sc048,Human,HG001,HG001,14,8,,6498,3241,2545.0,3161.826596729405,2185.8620041501,0.00658,0.3956996148908857,0.408053530101449,0.0665507898785207,1.396184886280264,0.0058503454246171,0.0029475633091508
20220418_S5CSTreat,20220418_S5CSTreat.sc049,Human,HG001,HG001,15,1,,258571,141082,2224.0,2544.081952339774,1454.980470236769,0.020985,0.3943992633500095,0.4051685524890715,0.0660534579393799,0.2512514439738159,0.2180567743017703,0.1124730368055784
20220418_S5CSTreat,20220418_S5CSTreat.sc050,Human,HG001,HG001,15,2,,466698,177920,2254.0,2608.801618705036,1556.708905494287,0.006846,0.3957548326154097,0.406268628276188,0.066382255333071,0.202749079681748,0.3733712259926936,0.1412357575788442
20220418_S5CSTreat,20220418_S5CSTreat.sc051,Human,HG001,HG001,15,3,,524761,183820,2084.0,2447.918779240561,1525.780797263444,0.132148,0.3993061027068669,0.4098955273201457,0.0682393686533487,0.3034099848369113,0.4129354182651455,0.1349364221310489
20220418_S5CSTreat,20220418_S5CSTreat.sc052,Human,HG001,HG001,15,4,,453591,244738,2173.0,2518.365697194551,1487.420019678802,0.346178,0.4016528925619833,0.411845395015628,0.0668988098825484,0.3114186703357276,0.3668560631808945,0.1774328622424987
20220418_S5CSTreat,20220418_S5CSTreat.sc053,Human,HG001,HG001,15,5,,476882,117294,2199.0,2633.94200044333,1730.400401524741,0.013635,0.3987115901007413,0.4093677213408932,0.0678080434191563,0.368987071122474,0.3660994639292577,0.092663013553702
20220418_S5CSTreat,20220418_S5CSTreat.sc054,Human,HG001,HG001,15,6,,450673,126644,2156.0,2564.776057294463,1668.051274200015,0.018466,0.3950091013904811,0.4058562538249144,0.066908316360926,0.3635254068415809,0.3486626978557822,0.0995203605321778
20220418_S5CSTreat,20220418_S5CSTreat.sc055,Human,HG001,HG001,15,7,,550691,188297,2033.0,2338.520698683463,1371.871188880645,0.01593,0.3947368421052632,0.4050949634430799,0.066611297570375,0.2088894881128938,0.3970753466613296,0.1336180186550872
