	Run	Cell	Species	CellLine	Barcode.1st	Barcode.2nd	Remark	TotalReads	UniqReads	Length.Median	Length.Mean	Length.Std	Background	GC.Median	GC.Mean	GC.Std	Spikiness	GenomicDepth	GenomicCoverage
8	20220418_S5CSTreat	20220418_S5CSTreat.sc009	Human	HG001	10	1		44466	36693	3214.0	3510.692720682419	1689.120513082494	0.05133099999999999	0.3945682026243516	0.4063249778506881	0.0628348765335007	0.3845556737486703	0.0513085728376877	0.04129695552905518
9	20220418_S5CSTreat	20220418_S5CSTreat.sc010	Human	HG001	10	2		424412	180592	2327.0	2718.23196487109	1659.294219016435	0.108212	0.3992859252271718	0.4100528974983432	0.06738797140440186	0.287754519116987	0.3606383478638033	0.1462183382454571
10	20220418_S5CSTreat	20220418_S5CSTreat.sc011	Human	HG001	10	3		292	288	2158.5	2490.166666666667	1574.403959087022	0.0	0.3927143358969185	0.4053033403077065	0.06944092929838812	1.822463768115942	0.000254164387186714	0.0002454708265716181
11	20220418_S5CSTreat	20220418_S5CSTreat.sc012	Human	HG001	10	4		1936	1724	2261.5	2565.049883990719	1418.100977188263	0.030058	0.3936982504539353	0.4063813130241404	0.06793807012704974	1.311097634930261	0.001673988679022341	0.001485508430976059
12	20220418_S5CSTreat	20220418_S5CSTreat.sc013	Human	HG001	10	5		467670	108714	2516.0	2961.552559927884	1863.810613925785	0.005868	0.3954702127579159	0.4066170795885684	0.06633249408724957	0.3444434621165237	0.408846211038632	0.0951046720871962
13	20220418_S5CSTreat	20220418_S5CSTreat.sc014	Human	HG001	10	6		347698	189780	2501.0	2917.638934555801	1767.317269924403	0.27001	0.4014749479593229	0.412232409513456	0.06676332831204572	0.3129923535532031	0.3240844322586067	0.1627000387375795
14	20220418_S5CSTreat	20220418_S5CSTreat.sc015	Human	HG001	10	7		329819	65859	3115.0	3703.293445087232	2539.428022406486	0.04053	0.3952095808383234	0.4058739693776959	0.06489756321032886	0.379115800210372	0.3439283403621099	0.07357318574664741
15	20220418_S5CSTreat	20220418_S5CSTreat.sc016	Human	HG001	10	8		14206	13133	2672.0	2930.475291251047	1481.755417136549	0.012772	0.3910614525139665	0.4019559392603042	0.06274801654377041	0.5581414076340796	0.01360796810040784	0.01252366223964733
16	20220418_S5CSTreat	20220418_S5CSTreat.sc017	Human	HG001	11	1		78542	66571	2396.0	2679.845202866113	1432.250581475571	0.058224	0.394575678040245	0.405342072664275	0.0652435852562152	0.3223002340354397	0.0693576610217878	0.05691604882566041
17	20220418_S5CSTreat	20220418_S5CSTreat.sc018	Human	HG001	11	2		449629	160818	2418.0	2849.569612854283	1794.567620106754	0.016782	0.3947813481517275	0.4054518815747312	0.0654044705424495	0.2823644582271163	0.3900042846655578	0.1378443423307517
18	20220418_S5CSTreat	20220418_S5CSTreat.sc019	Human	HG001	11	3		109	82	3033.5	3608.268292682927	2212.006081282055	0.0	0.3953815853373662	0.4097246920407737	0.0642089629152644	1.948051948051948	0.0001466155745569028	0.0001010809899668638
19	20220418_S5CSTreat	20220418_S5CSTreat.sc020	Human	HG001	11	4		367526	103069	2636.0	3196.522135656696	2162.938168128002	0.05510900000000001	0.3983286908077994	0.4100882355027872	0.06788274990084563	0.5408928954273055	0.3717362936408212	0.0978926678286468
20	20220418_S5CSTreat	20220418_S5CSTreat.sc021	Human	HG001	11	5		429620	140608	2605.0	3106.474830735093	2030.866739685642	0.042118	0.3951136182752074	0.405915322349982	0.0652717579218945	0.353391503533915	0.4053050125654855	0.1306320351923626
21	20220418_S5CSTreat	20220418_S5CSTreat.sc022	Human	HG001	11	6		323301	131755	2838.0	3428.118029676293	2300.222389034537	0.297434	0.4013346043851287	0.4121844105265204	0.0660256650242129	0.4530489789115269	0.3451567866683029	0.1282750058314578
