biosample,sample_name,library_ID,title,filename,LibraryStrategy,LibrarySource,LibrarySelection,LibraryLayout,Platform,InstrumentModel,DesignDescription,FileType
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0001,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0001.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0002,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0002.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0003,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0003.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0004,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0004.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0005,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0005.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0006,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0006.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0007,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0007.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0008,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0008.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0009,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0009.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0010,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0010.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0011,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0011.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0012,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0012.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0013,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0013.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0014,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0014.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0015,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0015.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0016,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0016.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0017,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0017.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0018,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0018.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0019,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0019.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0020,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0020.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
