Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Collection,Consent,Coriell_plate,CULTURE_COLLECTION,DATASTORE filetype,DATASTORE provider,DATASTORE region,DNA-ID,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),ETHNICITY,Experiment,Family_Id,family_role,HapMap_sample_ID,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,Population_Description,population,race,ReleaseDate,Sample Name,sex,SRA Study,Super_Population_Code,Super_Population_Description,tag
ERR1429039,WGS,51,23450769,PRJEB14185,SAMN00801888,10645092,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499417,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_04,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429040,WGS,51,30728724,PRJEB14185,SAMN00801888,13935580,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499418,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_06,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429041,WGS,51,17220558,PRJEB14185,SAMN00801888,7864396,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499419,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_07,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429042,WGS,51,32269791,PRJEB14185,SAMN00801888,14570231,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499420,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_09,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429043,WGS,51,30875910,PRJEB14185,SAMN00801888,13959949,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499421,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_10,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429044,WGS,51,23691081,PRJEB14185,SAMN00801888,10793553,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499422,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_13,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429045,WGS,51,27952998,PRJEB14185,SAMN00801888,12673092,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499423,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_16,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429046,WGS,51,26319519,PRJEB14185,SAMN00801888,11958238,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499424,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_18,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429047,WGS,51,25240767,PRJEB14185,SAMN00801888,11480316,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499425,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_20,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429048,WGS,51,16536750,PRJEB14185,SAMN00801888,7558670,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499426,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_21,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429049,WGS,51,19250154,PRJEB14185,SAMN00801888,8806267,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499427,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_25,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429050,WGS,51,22389153,PRJEB14185,SAMN00801888,10201717,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499428,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_27,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429051,WGS,51,26886078,PRJEB14185,SAMN00801888,12237895,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499429,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_28,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429052,WGS,51,22710198,PRJEB14185,SAMN00801888,10357849,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499430,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_29,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429053,WGS,51,23784564,PRJEB14185,SAMN00801888,10841338,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499431,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_30,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429054,WGS,51,21280770,PRJEB14185,SAMN00801888,9685280,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499432,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_31,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
