Run,Assay Type,BioProject,BioSample,Center Name,Consent,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,AvgSpotLen,Bases,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,sex,Population,Super_Population_Code,Cell_Line,Cell_type,common_name,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,Submitter_Id,disease,CULTURE_COLLECTION,DNA-ID,Population_Description,Super_Population_Description,Family_Id,Broker_name,Coriell_panel,Genotype,relationship,Coriell_plate,HapMap_sample_ID,BIOMATERIAL_PROVIDER,BioSampleModel,Isolate,tissue,AssemblyName,AGE,Collection,ETHNICITY,family_role,Race,tag,Isolation_source,sample_type,well_information,Individual,organism_part,fosmid_library_name,fosmid_library_source,relationship_type,Chinese_Code,local_family_id,type,xenograft
SRR15009469,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321938,NextSeq 550,na12878-icell8-fdu-33quickligase-r03-c09,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,9597276,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",152,23138352,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009470,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11322009,NextSeq 550,na12878-bespoke-fdu-f6-r6-c1,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,160000171,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",152,427794272,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009471,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321937,NextSeq 550,na12878-bespoke-fdu-f5-r3-c6,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,457473845,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",152,1225097504,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009472,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321936,NextSeq 550,na12878-bespoke-fdu-f5-r3-c5,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,587820029,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",152,1568850368,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009473,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321935,NextSeq 550,na12878-bespoke-fdu-f5-r3-c4,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,228915586,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",152,607784920,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009474,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321934,NextSeq 550,na12878-bespoke-fdu-f5-r3-c3,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,58664703,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",152,156202344,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009475,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321933,NextSeq 550,na12878-bespoke-fdu-f5-r3-c2,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,242667469,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",152,647279840,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009476,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321932,NextSeq 550,na12878-bespoke-fdu-f5-r3-c1,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,154221462,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",152,410648368,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009477,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321931,NextSeq 550,na12878-bespoke-fdu-f5-r2-c7,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,342652993,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",152,915123904,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009478,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321930,NextSeq 550,na12878-bespoke-fdu-f5-r2-c6,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,513936680,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",152,1378586952,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
