Run,Cell,Method,Species,CellLine,Layout,SRR,TotalReads,UniqReads,Background,GC.Mean,GC.Median,Spikiness,GenomicDepth,GenomicCoverage
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009470,OP-Strand-seq,Human,HG001,PAIRED,SRR15009470,4903620,3543948,0.01766,0.4364175363363236,0.4342105263157895,0.1013733702998243,0.1210861348545748,0.0751613536015373
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009471,OP-Strand-seq,Human,HG001,PAIRED,SRR15009471,13867960,8048120,0.004457,0.4399081123267629,0.4342105263157895,0.0925190328700247,0.3430540444771284,0.1672241664295021
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009472,OP-Strand-seq,Human,HG001,PAIRED,SRR15009472,17733848,9097534,0.005659,0.4398348423884651,0.4342105263157895,0.0910268931812979,0.4382094681896311,0.1879808622236966
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009473,OP-Strand-seq,Human,HG001,PAIRED,SRR15009473,6862716,5116226,0.004027,0.44997086840458,0.4473684210526316,0.1138902092475133,0.169840112175078,0.1064847453670321
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009475,OP-Strand-seq,Human,HG001,PAIRED,SRR15009475,7299356,5393408,0.004002,0.4430292413016082,0.4342105263157895,0.099236151756241,0.1801930830421313,0.1138894009253328
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009476,OP-Strand-seq,Human,HG001,PAIRED,SRR15009476,4593518,3774406,0.004014,0.4474162489274902,0.4444444444444444,0.1125270223507754,0.113344894778807,0.0811130551464104
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009477,OP-Strand-seq,Human,HG001,PAIRED,SRR15009477,10364012,6371258,0.007531,0.4440275383558577,0.4342105263157895,0.1561353543701777,0.2619088053477559,0.1366152880248805
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009478,OP-Strand-seq,Human,HG001,PAIRED,SRR15009478,15627464,8223664,0.005617,0.4411332763738762,0.4342105263157895,0.1241502957954519,0.3936763341998676,0.17387557229961
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009479,OP-Strand-seq,Human,HG001,PAIRED,SRR15009479,9753214,5681790,0.009616,0.4497577893793218,0.4473684210526316,0.2467262213578911,0.2506491146128861,0.1242134131990209
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009480,OP-Strand-seq,Human,HG001,PAIRED,SRR15009480,12392370,7481808,0.006817,0.4406144382403222,0.4342105263157895,0.0930402225340569,0.3056555874059812,0.1566445932476275
