Run,Cell,Method,Species,CellLine,Layout,SRR,TotalReads,UniqReads,Background,GC.Mean,GC.Median,Spikiness,GenomicDepth,GenomicCoverage
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429090,Strand-seq,Human,HG001,PAIRED,ERR1429090,1804484,1256124,0.02045,0.4782090787653347,0.4752475247524752,0.2062530231006588,0.0573745842350896,0.0286500982241914
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429093,Strand-seq,Human,HG001,PAIRED,ERR1429093,1503084,1077098,0.012487,0.4615175589625863,0.4554455445544554,0.1849765590168731,0.0473939696926532,0.0246225831389316
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429095,Strand-seq,Human,HG001,PAIRED,ERR1429095,1214576,834128,0.02078,0.4967895226904326,0.494949494949495,0.2533496105573267,0.038407179667573,0.018586166856297
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429097,Strand-seq,Human,HG001,PAIRED,ERR1429097,1728798,1244142,0.013053,0.4648579181789999,0.4554455445544554,0.1938083674648672,0.0547196774666611,0.0290039429064343
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429106,Strand-seq,Human,HG001,PAIRED,ERR1429106,1082692,849168,0.025227,0.4665058688954429,0.46,0.2006963039648015,0.0341804208617041,0.0193408961958803
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429107,Strand-seq,Human,HG001,PAIRED,ERR1429107,1195374,874896,0.016947,0.462192695721111,0.4554455445544554,0.1954484024600886,0.0378719462117905,0.0204951835848106
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429112,Strand-seq,Human,HG001,PAIRED,ERR1429112,1249622,949428,0.008275,0.4550261880904307,0.4455445544554455,0.17909817671186,0.039580656263736,0.0223262765284894
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429115,Strand-seq,Human,HG001,PAIRED,ERR1429115,1225544,929784,0.008847,0.4649507263030544,0.4583333333333333,0.1922917511273376,0.0388410549161441,0.0214603030738847
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429117,Strand-seq,Human,HG001,PAIRED,ERR1429117,1195280,895874,0.00932,0.4662333890749709,0.46,0.2243425826130448,0.0379080870622231,0.0207713587429537
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429124,Strand-seq,Human,HG001,PAIRED,ERR1429124,3141888,1482462,0.012153,0.4673552076665839,0.4554455445544554,0.1917025622933749,0.1029861541756776,0.0393169711859373
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429125,Strand-seq,Human,HG001,PAIRED,ERR1429125,2471058,1228720,0.012129,0.4668602400837273,0.4554455445544554,0.2669917621278854,0.0828068121627937,0.0330141359139078
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429126,Strand-seq,Human,HG001,PAIRED,ERR1429126,3103168,1703456,0.013212,0.4596532541996128,0.4554455445544554,0.1737845876476313,0.1017683482116779,0.0437724877837473
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429127,Strand-seq,Human,HG001,PAIRED,ERR1429127,3739638,1743160,0.015828,0.4581941829509717,0.4455445544554455,0.1689116646995669,0.1226372349030012,0.0446222998556033
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429128,Strand-seq,Human,HG001,PAIRED,ERR1429128,2860528,1368068,0.022024,0.480063825906981,0.4752475247524752,0.2088344072373376,0.093595841929436,0.0353060922657835
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429129,Strand-seq,Human,HG001,PAIRED,ERR1429129,3600888,1651262,0.016376,0.4584505583073036,0.4455445544554455,0.1742294099540322,0.1181297788544266,0.0433449798361532
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429130,Strand-seq,Human,HG001,PAIRED,ERR1429130,3192314,1500806,0.008959,0.4641740971995034,0.4554455445544554,0.1854652315994266,0.1046838645812723,0.0394447495530751
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429131,Strand-seq,Human,HG001,PAIRED,ERR1429131,3317870,1445822,0.017276,0.4559026932353889,0.4455445544554455,0.1801813803350924,0.1084971707364543,0.0388799821998842
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429132,Strand-seq,Human,HG001,PAIRED,ERR1429132,1499318,910380,0.018639,0.4561589993527772,0.4455445544554455,0.1791731718124012,0.0489928018897236,0.0232820085442723
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429135,Strand-seq,Human,HG001,PAIRED,ERR1429135,4064558,1843412,0.0117,0.459299571809236,0.4554455445544554,0.2447375483640104,0.1363636665928693,0.0490491489903287
