Run,Cell,Method,Species,CellLine,Layout,SRR,TotalReads,UniqReads,Background,GC.Mean,GC.Median,Spikiness,GenomicDepth,GenomicCoverage
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429090,Strand-seq,Human,HG001,PAIRED,ERR1429090,1804484,1256124,0.02045,0.4782090787653347,0.4752475247524752,0.2062530231006588,0.0573745842350896,0.0286500982241914
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429091,Strand-seq,Human,HG001,PAIRED,ERR1429091,1043044,786670,0.017197,0.4802376968524032,0.4752475247524752,0.246666879730687,0.0331903587771387,0.0179411515455886
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429092,Strand-seq,Human,HG001,PAIRED,ERR1429092,929720,676774,0.023098,0.4915066938733033,0.4871794871794871,0.2420890889337265,0.0294483197146634,0.0150550615951986
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429093,Strand-seq,Human,HG001,PAIRED,ERR1429093,1503084,1077098,0.012487,0.4615175589625863,0.4554455445544554,0.1849765590168731,0.0473939696926532,0.0246225831389316
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429094,Strand-seq,Human,HG001,PAIRED,ERR1429094,518914,444466,0.011291,0.4719006485996327,0.4653465346534653,0.2312951637162473,0.0163991513184318,0.010265227609156
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429095,Strand-seq,Human,HG001,PAIRED,ERR1429095,1214576,834128,0.02078,0.4967895226904326,0.494949494949495,0.2533496105573267,0.038407179667573,0.018586166856297
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429096,Strand-seq,Human,HG001,PAIRED,ERR1429096,292138,234178,0.017442,0.4791122515613414,0.4752475247524752,0.2597593690840414,0.0092437328455786,0.0052160612386625
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429097,Strand-seq,Human,HG001,PAIRED,ERR1429097,1728798,1244142,0.013053,0.4648579181789999,0.4554455445544554,0.1938083674648672,0.0547196774666611,0.0290039429064343
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429098,Strand-seq,Human,HG001,PAIRED,ERR1429098,982466,743446,0.017863,0.4724274542605049,0.4680851063829787,0.2569104406886748,0.0312357831162219,0.0169695927555755
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429099,Strand-seq,Human,HG001,PAIRED,ERR1429099,799412,628584,0.014132,0.4666003894662177,0.46,0.3226522648178543,0.0249032379468771,0.0144581572155425
