Name	Number	Depth	Cells
cov1-r1	4	0.9973878104263487	20220430_S5Merged.sc136,20220708_GM12878.sc031,20220708_GM12878.sc055,20220708_GM12878R2.C26
cov1-r2	5	0.9946050887690625	20220708_GM12878.sc088,20220708_GM12878R2.C01,20220708_GM12878R2.C02,20220817_HG001.C35,20220915_P1.C36
cov1-r3	5	0.9945136411653004	20220610_Treat.sc040,20220708_GM12878.sc017,20220708_GM12878.sc067,20220916_P1.C04,20220916_P2.C28
cov1-r4	3	0.9933065826738717	20220708_GM12878.sc021,20220708_GM12878.sc057,20220708_GM12878R2.C09
cov1-r5	4	1.0068973605225104	20220430_S5Merged.sc001,20220430_S5Merged.sc168,20220708_GM12878.sc044,20220916_P2.C09
cov2-r1	6	2.001808828259813	20220430_S5Merged.sc044,20220430_S5Merged.sc127,20220610_Treat.sc012,20220610_Treat.sc014,20220708_GM12878R2.C39,20220916_P1.C78
cov2-r2	5	2.0026578138973243	20220418_S5CSTreat.sc018,20220430_S5Merged.sc169,20220610_Treat.sc039,20220708_GM12878R2.C66,20220708_GM12878R2.C80
cov2-r3	7	1.9946440957049343	20220418_S5CSTreat.sc053,20220610_Treat.sc002,20220708_GM12878.sc011,20220708_GM12878R2.C17,20220817_HG001.C58,20220915_P1.C17,20220915_P1.C72
cov2-r4	7	2.0140468287376443	20220430_S5Merged.sc145,20220430_S5Merged.sc168,20220817_HG001.C03,20220915_P1.C04,20220915_P1.C08,20220915_P1.C52,20220916_P2.C46
cov2-r5	7	2.016536276463231	20220708_GM12878R2.C62,20220708_GM12878R2.C66,20220817_HG001.C39,20220817_HG001.C40,20220915_P1.C12,20220915_P1.C57,20220916_P1.C18
cov3-r1	10	3.0009171097753597	20220418_S5CSTreat.sc044,20220418_S5CSTreat.sc046,20220430_S5Merged.sc153,20220610_Treat.sc004,20220708_GM12878.sc055,20220708_GM12878.sc067,20220708_GM12878.sc068,20220708_GM12878R2.C04,20220708_GM12878R2.C76,20220817_HG001.C35
cov3-r2	11	2.9985736191898957	20220418_S5CSTreat.sc028,20220418_S5CSTreat.sc046,20220610_Treat.sc007,20220610_Treat.sc018,20220610_Treat.sc067,20220708_GM12878.sc027,20220708_GM12878.sc051,20220708_GM12878.sc075,20220817_HG001.C21,20220915_P1.C22,20220916_P1.C19
cov3-r3	12	3.00207335229369	20220610_Treat.sc003,20220708_GM12878.sc011,20220708_GM12878.sc052,20220708_GM12878.sc065,20220708_GM12878.sc080,20220708_GM12878.sc089,20220817_HG001.C66,20220915_P1.C57,20220915_P1.C60,20220916_P1.C07,20220916_P1.C35,20220916_P1.C68
cov3-r4	12	2.997505615581375	20220418_S5CSTreat.sc036,20220708_GM12878.sc030,20220708_GM12878.sc047,20220708_GM12878R2.C77,20220817_HG001.C56,20220915_P1.C33,20220915_P1.C88,20220915_P1.C93,20220916_P1.C04,20220916_P1.C16,20220916_P1.C64,20220916_P2.C21
cov3-r5	11	2.9965587774739273	20220418_S5CSTreat.sc055,20220610_Treat.sc053,20220610_Treat.sc074,20220708_GM12878.sc022,20220708_GM12878.sc062,20220708_GM12878R2.C80,20220817_HG001.C35,20220817_HG001.C39,20220915_P1.C01,20220915_P1.C22,20220916_P2.C46
cov4-r1	12	4.000012099819681	20220430_S5Merged.sc013,20220430_S5Merged.sc042,20220430_S5Merged.sc069,20220430_S5Merged.sc093,20220430_S5Merged.sc101,20220430_S5Merged.sc106,20220610_Treat.sc021,20220708_GM12878.sc011,20220708_GM12878.sc033,20220708_GM12878.sc081,20220817_HG001.C43,20220915_P1.C74
cov4-r2	14	3.998857643735189	20220430_S5Merged.sc085,20220430_S5Merged.sc098,20220610_Treat.sc063,20220610_Treat.sc069,20220708_GM12878.sc002,20220708_GM12878.sc020,20220708_GM12878.sc049,20220708_GM12878R2.C17,20220817_HG001.C55,20220915_P1.C04,20220915_P1.C75,20220916_P1.C17,20220916_P2.C66,20220916_P2.C74
cov4-r3	15	3.998843162351551	20220418_S5CSTreat.sc023,20220430_S5Merged.sc093,20220610_Treat.sc010,20220610_Treat.sc069,20220708_GM12878.sc006,20220708_GM12878R2.C08,20220708_GM12878R2.C61,20220817_HG001.C06,20220817_HG001.C17,20220817_HG001.C40,20220915_P1.C94,20220916_P1.C17,20220916_P1.C45,20220916_P1.C62,20220916_P1.C66
cov4-r4	13	3.9960202431503262	20220430_S5Merged.sc002,20220610_Treat.sc012,20220610_Treat.sc038,20220610_Treat.sc072,20220610_Treat.sc078,20220708_GM12878.sc023,20220708_GM12878.sc054,20220708_GM12878.sc087,20220708_GM12878R2.C76,20220708_GM12878R2.C84,20220916_P1.C26,20220916_P1.C68,20220916_P2.C76
cov4-r5	15	4.006563773220847	20220430_S5Merged.sc127,20220610_Treat.sc043,20220610_Treat.sc062,20220708_GM12878.sc007,20220708_GM12878.sc017,20220708_GM12878.sc029,20220708_GM12878.sc054,20220708_GM12878.sc066,20220708_GM12878.sc067,20220708_GM12878R2.C85,20220817_HG001.C24,20220915_P1.C52,20220916_P1.C39,20220916_P1.C68,20220916_P2.C35
cov5-r1	18	4.999855332250498	20220430_S5Merged.sc003,20220430_S5Merged.sc106,20220430_S5Merged.sc127,20220610_Treat.sc002,20220610_Treat.sc003,20220610_Treat.sc031,20220610_Treat.sc038,20220708_GM12878.sc036,20220708_GM12878.sc065,20220708_GM12878.sc080,20220708_GM12878R2.C64,20220817_HG001.C01,20220817_HG001.C03,20220915_P1.C62,20220915_P1.C66,20220915_P1.C89,20220916_P1.C26,20220916_P2.C46
cov5-r2	18	4.999788863763948	20220418_S5CSTreat.sc026,20220430_S5Merged.sc153,20220610_Treat.sc013,20220610_Treat.sc016,20220610_Treat.sc062,20220708_GM12878.sc004,20220708_GM12878.sc035,20220708_GM12878R2.C09,20220708_GM12878R2.C11,20220708_GM12878R2.C55,20220817_HG001.C35,20220817_HG001.C49,20220817_HG001.C66,20220915_P1.C34,20220915_P1.C54,20220916_P1.C35,20220916_P1.C78,20220916_P2.C72
cov5-r3	20	5.000504862689252	20220418_S5CSTreat.sc046,20220430_S5Merged.sc136,20220610_Treat.sc001,20220610_Treat.sc021,20220610_Treat.sc053,20220708_GM12878.sc011,20220708_GM12878.sc024,20220708_GM12878R2.C67,20220817_HG001.C09,20220817_HG001.C23,20220817_HG001.C55,20220817_HG001.C62,20220915_P1.C10,20220915_P1.C75,20220915_P1.C78,20220916_P1.C30,20220916_P1.C39,20220916_P1.C44,20220916_P2.C43,20220916_P2.C76
cov5-r4	16	5.001804870348866	20220418_S5CSTreat.sc046,20220430_S5Merged.sc069,20220430_S5Merged.sc168,20220610_Treat.sc021,20220610_Treat.sc031,20220708_GM12878.sc008,20220708_GM12878.sc018,20220708_GM12878.sc027,20220708_GM12878.sc055,20220708_GM12878.sc062,20220708_GM12878R2.C11,20220708_GM12878R2.C52,20220708_GM12878R2.C68,20220817_HG001.C30,20220915_P1.C58,20220916_P1.C67
cov5-r5	20	5.0028204026808165	20220430_S5Merged.sc031,20220430_S5Merged.sc153,20220610_Treat.sc030,20220610_Treat.sc043,20220708_GM12878.sc006,20220708_GM12878.sc008,20220708_GM12878.sc043,20220708_GM12878.sc076,20220708_GM12878R2.C02,20220708_GM12878R2.C62,20220708_GM12878R2.C73,20220817_HG001.C35,20220817_HG001.C50,20220817_HG001.C52,20220915_P1.C38,20220915_P1.C42,20220915_P1.C57,20220915_P1.C59,20220916_P1.C78,20220916_P2.C66
cov6-r1	22	6.000672644165647	20220418_S5CSTreat.sc025,20220430_S5Merged.sc069,20220430_S5Merged.sc169,20220430_S5Merged.sc171,20220610_Treat.sc067,20220708_GM12878.sc002,20220708_GM12878.sc005,20220708_GM12878.sc014,20220708_GM12878.sc015,20220708_GM12878.sc021,20220708_GM12878.sc024,20220708_GM12878.sc054,20220708_GM12878.sc079,20220708_GM12878R2.C11,20220708_GM12878R2.C65,20220915_P1.C22,20220915_P1.C41,20220915_P1.C52,20220915_P1.C91,20220916_P1.C66,20220916_P2.C08,20220916_P2.C82
cov6-r2	24	5.995892606000506	20220418_S5CSTreat.sc034,20220430_S5Merged.sc001,20220430_S5Merged.sc003,20220430_S5Merged.sc093,20220430_S5Merged.sc136,20220430_S5Merged.sc153,20220610_Treat.sc010,20220610_Treat.sc018,20220610_Treat.sc040,20220708_GM12878.sc002,20220708_GM12878.sc022,20220708_GM12878R2.C01,20220708_GM12878R2.C08,20220817_HG001.C35,20220817_HG001.C52,20220817_HG001.C58,20220915_P1.C07,20220915_P1.C76,20220915_P1.C90,20220916_P1.C27,20220916_P1.C30,20220916_P1.C62,20220916_P1.C66,20220916_P2.C71
