Chrom	Bin	Start	End	Width	Crick	Crick.HP1	Crick.HP2	Watson	Watson.HP1	Watson.HP2
chr1	0	0	2000000	2000000	34	0	17	59	13	0
chr1	1	2000000	4000000	2000000	107	2	54	105	36	3
chr1	2	4000000	6000000	2000000	95	1	61	74	48	0
chr1	3	6000000	8000000	2000000	35	1	12	96	38	1
chr1	4	8000000	10000000	2000000	79	1	51	87	37	2
chr1	5	10000000	12000000	2000000	114	0	51	69	31	0
chr1	6	12000000	14000000	2000000	74	2	20	83	38	0
chr1	7	14000000	16000000	2000000	36	1	15	71	57	1
chr1	8	16000000	18000000	2000000	23	0	8	77	44	1
chr1	9	18000000	20000000	2000000	50	1	40	86	67	2
chr1	10	20000000	22000000	2000000	100	1	47	76	33	5
chr1	11	22000000	24000000	2000000	93	0	59	103	49	2
chr1	12	24000000	26000000	2000000	107	0	53	118	54	1
chr1	13	26000000	28000000	2000000	100	3	45	95	44	4
chr1	14	28000000	30000000	2000000	76	0	58	99	56	2
chr1	15	30000000	32000000	2000000	44	1	25	106	55	0
chr1	16	32000000	34000000	2000000	13	1	5	83	38	1
chr1	17	34000000	36000000	2000000	87	0	42	141	30	1
chr1	18	36000000	38000000	2000000	121	3	55	66	35	3
chr1	19	38000000	40000000	2000000	143	3	92	92	54	4
chr1	20	40000000	42000000	2000000	121	3	91	141	90	1
chr1	21	42000000	44000000	2000000	64	0	17	99	45	4
chr1	22	44000000	46000000	2000000	80	0	35	73	50	2
chr1	23	46000000	48000000	2000000	82	1	26	102	24	0
chr1	24	48000000	50000000	2000000	95	3	57	102	50	3
chr1	25	50000000	52000000	2000000	87	1	11	127	29	0
chr1	26	52000000	54000000	2000000	115	10	55	87	45	1
chr1	27	54000000	56000000	2000000	138	2	74	68	24	1
chr1	28	56000000	58000000	2000000	135	1	67	93	64	1
chr1	29	58000000	60000000	2000000	124	5	50	146	73	4
chr1	30	60000000	62000000	2000000	136	3	87	132	64	2
chr1	31	62000000	64000000	2000000	113	1	46	78	41	2
